Date,pairwise_strategy_returns,hml_strategy_returns,pairwise_cumulative_returns,hml_cumulative_returns
2002-08-30,0.04853771176048305,0.03217149357333542,0.19005341624482308,0.2124075150879121
2002-09-30,0.009369255050474923,0.01608778390028716,0.20120333022530978,0.2319124651897304
2002-10-31,0.021226761030818997,0.023220951058624706,0.22670098626542634,0.260518644252411
2002-11-29,0.030023487071790367,0.018612258085376143,0.26353082746751877,0.2839797425806654
2002-12-31,0.013330649662740113,0.017106280992072828,0.28037451426656035,0.3059438608453795
2003-01-31,-0.04055727944848875,-0.0239448652489856,0.22844600729272835,0.2746732110746968
2003-02-28,0.0,-0.0,0.22844600729272835,0.2746732110746968
2003-03-31,0.019827490140278403,0.024139204434795416,0.2528030083901893,0.3054428083043861
2003-04-30,0.03945062760894802,0.028288832427657208,0.3022268733415603,0.34237226115239894
2003-05-30,0.0226009105501932,0.014787649784279773,0.3316583864220106,0.3622227920304524
2003-06-30,-0.0010211454522688346,-0.0021939585109914065,0.3302985695167402,0.3592341317420107
2003-07-31,-0.032699685015552205,-0.01921769147276004,0.286798225316903,0.33311278955894785
2003-08-29,-0.010496054854815196,-0.010266562733104362,0.273291920556898,0.3194263034746372
2003-09-30,0.02243808615271503,0.030616715198177442,0.3018621543679094,0.3598228028331043
2003-10-31,0.0396449109965204,0.024375877821104043,0.35347436360756346,0.39296967733331534
2003-11-28,0.010440585434031313,0.006539347066537336,0.36760542833357923,0.4020787895065605
2003-12-31,0.013169064535441033,0.01923855330553952,0.3856155124783236,0.4290527570370488
2004-01-30,0.049865323049853694,0.043791233390158064,0.4547096776309436,0.49163273984730704
2004-02-27,-0.05488155497402758,-0.047153905419042116,0.374872948486791,0.4212964307126006
2004-03-31,0.0,-0.0,0.374872948486791,0.4212964307126006
2004-04-30,0.010879727839017028,0.0008695557593213169,0.3898311919795543,0.4225323272096295
2004-05-31,0.0025699478528315445,-0.00013272242474822189,0.39340298566718057,0.4223435252698795
2004-06-30,0.024245050496176535,0.02467239584968156,0.4271861114162048,0.4574361477595694
2004-07-30,0.02455322702537499,0.01581142275667896,0.46222813601726886,0.48048028683266164
2004-08-31,0.03938828998389177,0.028725417273138917,0.5198228018613227,0.5230077008365861
2004-09-30,-0.01954413567485741,-0.018119434727629603,0.4901191788200032,0.4954116622116005
2004-10-29,0.019190549949809954,0.01107026117628758,0.5187153853523183,0.5119662598783492
2004-11-30,0.011034595562549543,0.010124838606681112,0.5354737954043027,0.5272746742383647
2004-12-31,-8.269570633273604e-05,0.010572294977440024,0.5353468183142365,0.5434214726059863
2005-01-31,0.03817039828724972,0.02680018689662759,0.5939516178783524,0.5847854565320949
2005-02-28,0.00887160567305112,0.008004902618573749,0.608092528094091,0.5974715097829664
2005-03-31,0.01305489482158817,0.012557704045939809,0.6290860069117414,0.6175320842246412
2005-04-29,-0.0031140620129602725,-0.0009649505861185556,0.6240129320617724,0.6159712456919031
2005-05-31,0.019078269747225762,0.02168769583602693,0.65499628885263,0.6510179385482349
2005-06-30,-0.0007220225010315384,-0.0017972408325775575,0.6538013442929547,0.6480506616937578
2005-07-29,0.010595826892786764,0.0020132255901842075,0.6713247370521409,0.6513685594597995
2005-08-31,0.026987311819616056,0.028226783466875897,0.7164292988828047,0.697981382211678
2005-09-30,0.04193481523119791,0.02941578113408041,0.7884074443888698,0.7479288309205603
2005-10-31,0.037932635722889074,0.028474923879754862,0.8562464525009759,0.7977009713282521
2005-11-30,-0.03846757695864361,-0.02943855619842815,0.7848411492351854,0.7447792502558366
2005-12-30,0.0,0.0,0.7848411492351854,0.7447792502558366
2006-01-31,-0.0390077418005958,-0.022877183481422196,0.7152185265307405,0.7048636152131555
2006-02-28,-0.05490343170636325,-0.04888639593534902,0.621047143297871,0.6215189775040746
2006-03-31,0.013575643428458961,0.0,0.6430539012960048,0.6215189775040746
2006-04-28,-0.012455513364031001,-0.013123644442853518,0.6225888214705892,0.6002387389859718
2006-05-31,-0.015252373007279107,-0.012272446358634385,0.5978404915280784,0.5805998949007578
2006-06-30,0.01796521093189729,0.021985300024625662,0.6265460329939068,0.6153498578090428
2006-07-31,0.09104097859849036,0.06640082093853035,0.7746283755731642,0.7226104144705014
2006-08-31,0.009986287477261546,0.00618698360984397,0.7923503246969437,0.733268176870977
2006-09-29,0.02398235848903152,0.023981313641706532,0.8353351127217579,0.774834224645709
2006-10-31,0.01567793496768244,0.006135736033593665,0.8641093772629138,0.7857241389515228
2006-11-30,0.06534858707071384,0.049633182537558086,0.9859262912123135,0.8743553111018274
2006-12-29,-0.004470544702663115,0.0005375929190496974,0.9770481189512548,0.8753629512448589
2007-01-31,0.003707535318182742,0.003338379597182717,0.9843780946780134,0.8816236246586069
2007-02-28,0.023004555358660916,0.02198116817940463,1.0300278304095478,0.9229839100025687
2007-03-30,0.05679455902833419,0.041725288532988916,1.1453223658529041,1.0032209684917208
2007-04-30,0.018250482142449065,0.01753120579478868,1.1844755333806996,1.038339847542785
2007-05-31,0.06655553251559221,0.05303551944497414,1.3298644657721344,1.146444260162606
2007-06-29,-0.03481654370939119,-0.025720777050669823,1.2487466377626215,1.0912360458952737
2007-07-31,-0.0,-0.08503613915023712,1.2487466377626215,0.9134054065005315
2007-08-31,0.0,0.0,1.2487466377626215,0.9134054065005315
2007-09-28,0.026665406048896445,0.027493245126758596,1.3087103799596527,0.9660111303683159
2007-10-31,-0.03507376597436068,-0.038831551036872566,1.2277352123903702,0.8896678688203592
2007-11-30,0.017736900158026203,0.00956511993535491,1.267248329431057,0.9077427686236121
2007-12-31,-0.024520626666211714,-0.02301789877832073,1.2116539795854862,0.8638305386803604
2008-01-31,0.008571087910462155,0.01032358462185121,1.2306102602720368,0.8830719509672176
2008-02-29,-0.05792789259432357,-0.04794200662559471,1.1013957086952018,0.7927937030174756
2008-03-31,0.0,0.0,1.1013957086952018,0.7927937030174756
2008-04-30,0.019097800898813466,0.016283694515216877,1.1415277455494834,0.8219870080062168
2008-05-30,-0.01721092331216273,-0.012504503439378678,1.1046700757499628,0.7992039651980998
2008-06-30,-0.012055012526434039,-0.005207068224845429,1.0792982516227863,0.789835387400901
2008-07-31,-0.029173429738110435,-0.029470700011549902,1.018637990174493,0.7370876856287527
2008-08-29,-0.06762417225220024,-0.0,0.8821292670120979,0.7370876856287527
2008-09-30,-0.0,-0.0,0.8821292670120979,0.7370876856287527
2008-10-31,-0.0,-0.0,0.8821292670120979,0.7370876856287527
2008-11-28,-0.06225966039041286,-0.036673649797732716,0.764948538037068,0.6733823401780499
2008-12-31,-0.1457794842168849,-0.11001443867999368,0.507655250492679,0.4892861213263475
2009-01-30,0.0,0.0,0.507655250492679,0.4892861213263475
2009-02-27,0.06243874024717172,0.07587162786810533,0.6017913450604762,0.6022806837127541
2009-03-31,0.06043846410280687,0.04080357775954871,0.6986011537691004,0.6676594681832504
2009-04-30,0.05806425488540598,0.04821915548356639,0.7972291641101941,0.7480725993732202
2009-05-29,0.023226141959230145,0.026509648135748486,0.838971863809086,0.7944133888983476
